rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,train/explained_variance,train/value_loss,train/std,train/clip_fraction,train/entropy_loss,train/loss,train/learning_rate,train/n_updates,train/approx_kl,train/clip_range,eval/mean_ep_length,eval/mean_reward,train/policy_gradient_loss
103.1774193548387,7168,83.8651750967742,201,35,1,,,,,,,,,,,,,
,9996,,,,,0.6206207275390625,294.0546332223075,1.183720350265503,0.03850446428571429,-6.344449486051287,120.89237976074219,0.0003,630,0.006155611,0.2,87.6,89.58549239999999,-0.003909915672349078
104.07,14336,68.43414143,185,77,2,,,,,,,,,,,,,
,19992,,,,,0.740017294883728,200.79220057896205,1.1799051761627197,0.05087890625,-6.338187374387469,89.82431030273438,0.0003,640,0.0078165,0.2,74.2,81.944095,-0.004824743396602571
103.59,21504,46.72148768000001,160,134,3,,,,,,,,,,,,,
98.82,28672,27.205732709999996,146,195,4,0.7517168521881104,188.31356288364955,1.1814265251159668,0.05795200892857143,-6.331229598181588,94.7204360961914,0.0003,650,0.0069857505,0.2,,,-0.004175654948422951
,29988,,,,,0.7823116779327393,169.05749882289342,1.1853845119476318,0.05458984375,-6.341624913896833,76.15263366699219,0.0003,660,0.008611761,0.2,59.0,72.5800016,-0.0038306299397455794
94.33,35840,7.420554930000001,132,270,5,,,,,,,,,,,,,
,39984,,,,,0.7902541756629944,180.58680637904575,1.1889994144439697,0.03948102678571429,-6.35558990069798,90.1154556274414,0.0003,670,0.006290452,0.2,63.2,55.07006259999999,-0.0035491493763402104
91.92,43008,-11.585224349999999,128,333,6,,,,,,,,,,,,,
,49980,,,,,0.7790511250495911,218.72402910505022,1.1918377876281738,0.03461216517857143,-6.366869572230748,110.275634765625,0.0003,680,0.0049781026,0.2,62.0,38.436236,-0.0033935851350958856
93.73,50176,-37.159299100000005,130,385,7,,,,,,,,,,,,,
94.98,57344,-58.58564999000001,128,445,8,0.8020730018615723,246.6815213884626,1.1953883171081543,0.03410993303571429,-6.376796695164272,114.7148208618164,0.0003,690,0.006861606,0.2,,,-0.0035984695124040757
,59976,,,,,0.8109056353569031,290.0636402675084,1.1998484134674072,0.022307477678571427,-6.389976978302002,120.56204986572266,0.0003,700,0.005106018,0.2,78.0,20.897042199999998,-0.002973756819431271
